发展,73
国家,34
建设,25
全面,23
经济,21
现代化,20
体系,20
实现,19
更加,19
国内,17
战略,17
人民,17
科技,17
创新,17
社会主义,16
坚持,16
基础,15
基本,15
提升,14
水平,14
社会,14
取得,13
治理,13
重大,13
提高,13
我国,12
推进,11
研究,11
国际,10
理念,10
必须,10
建成,9
持续,9
目标,9
显著,9
安全,9
格局,9
高质量,9
科学,9
构建,9
时期,8
阶段,8
生活,8
贯彻,8
投入,8
改革,7
能力,7
制度,7
优势,7
优化,7
领域,7
文化,7
变革,7
加强,7
中国,7
循环,7
中心,7
形成,7
强国,7
增长,7
深刻,6
挑战,6
加快,6
生产总值,6
成果,6
世界,6
增强,6
完善,6
需求,6
健全,6
十四五,5
环境,5
进一步,5
稳定,5
结构,5
得到,5
农业,5
区域,5
主要,5
不断,5
实力,5
市场,5
生态,5
坚定不移,5
推动,5
机制,5
强化,5
关键,5
新型,5
健康,5
小康社会,4
百年,4
进入,4
条件,4
变化,4
机遇,4
第一节,4
核心,4
工程,4
信息,4
一批,4
中华民族,4
排放,4
教育,4
质量,4
军队,4
迈出,4
第二节,4
仍然,4
城乡,4
统筹,4
把握,4
经济社会,4
文明,4
布局,4
开放,4
供给,4
主体,4
体制,4
方式,4
效率,4
战略性,4
生产,4
要素,4
法治,4
达到,4
研发,4
明显提高,4
实施,4
实验室,4
科研,4
十三,3
任务,3
新冠,3
肺炎,3
疫情,3
深化改革,3
重大进展,3
领导,3
量子,3
脱贫,3
问题,3
创造,3
以上,3
资源,3
生态环境,3
明显改善,3
重要,3
公平,3
城镇,3
超过,3
应对,3
公共,3
国防,3
保持,3
伟大,3
产业,3
深入,3
能源,3
效能,3
充分,3
重点,3
收入,3
分配,3
差距,3
民生,3
保障,3
全局,3
认识,3
精神,3
导向,3
特色,3
思想,3
绿色,3
共享,3
深化,3
动力,3
共同富裕,3
全体,3
积极性,3
有利于,3
资源配置,3
风险,3
驱动,3
引领,3
强大,3
2035,3
核心技术,3
程度,3
人均,3
明显,3
经费,3
步伐,3
面向,3
力量,3
制定,3
支持,3
开启,2
征程,2
第一个,2
奋斗目标,2
坚实,2
面临,2
决胜,2
成就,2
错综复杂,2
艰巨,2
特别,2
习近平,2
重大突破,2
依法治国,2
从严治党,2
彰显,2
创新型,2
丰硕,2
深海,2
攻坚,2
胜利,2
历史性,2
解决,2
人类,2
稳步,2
人口,2
常住人口,2
力度,2
加大,2
污染物,2
总量,2
减少,2
利用效率,2
处置,2
对外开放,2
扩大,2
较大,2
就业,2
社会保障,2
覆盖,2
亿人,2
养老保险,2
防控,2
大幅提高,2
文化产业,2
大幅,2
和谐,2
综合国力,2
台阶,2
复兴,2
复杂,2
未有,2
大变局,2
和平,2
时代,2
主题,2
深入人心,2
同时,2
广泛,2
全球,2
政治,2
丰富,2
空间,2
韧性,2
大局,2
具有,2
创新能力,2
要求,2
